Date,Open,High,Low,Close,Volume,Average,Barcount
2013-01-25,163.48,164.22,160.31,160.65,33203500.0,162.243,157583
2013-02-01,160.24,163.04,160.02,161.45,42216400.0,161.481,207926
2013-02-08,161.19,162.96,161.13,161.57,35266000.0,161.964,165393
2013-02-15,159.78,160.05,154.56,155.76,56917500.0,157.908,250722
2013-02-22,155.78,155.84,150.84,152.97,59621800.0,153.016,253603
2013-03-01,153.52,156.8,152.14,152.44,56589700.0,154.091,250777
2013-03-08,152.45,153.39,151.4,152.71,39833700.0,152.576,186257
2013-03-15,152.82,154.72,152.65,153.97,28368700.0,153.807,133639
2013-03-22,155.71,156.43,154.88,155.55,32110700.0,155.716,150886
2013-03-28,154.71,155.62,154.22,154.45,24313000.0,154.848,114112
2013-04-05,154.57,154.93,149.44,152.81,47521800.0,151.671,214740
2013-04-12,152.41,153.85,143.43,143.95,80339500.0,148.185,314165
2013-04-19,136.0,136.75,130.51,135.47,172715000.0,133.625,684213
2013-04-26,138.15,143.43,135.85,140.91,66728400.0,139.312,307317
2013-05-03,142.14,142.83,139.3,142.09,47815700.0,141.632,221214
2013-05-10,142.33,142.81,137.26,139.6,47744200.0,140.512,226892
2013-05-17,138.46,139.16,131.02,131.07,61119500.0,134.787,290776
2013-05-24,130.88,136.77,130.85,133.76,70391100.0,133.309,320744
2013-05-31,133.68,137.11,132.8,133.92,35057900.0,134.801,182436
2013-06-07,134.76,137.62,133.18,133.28,39243600.0,135.335,197268
2013-06-14,133.3,134.83,132.25,134.43,26888800.0,133.69,147962
2013-06-21,133.89,134.06,123.33,125.05,61582900.0,127.486,293096
2013-06-28,124.31,124.7,114.68,119.15,95672800.0,119.059,412958
2013-07-05,119.98,121.95,116.74,118.09,37957100.0,119.885,170118
2013-07-12,119.1,124.37,118.93,124.13,41036600.0,121.852,195029
2013-07-19,124.07,125.7,122.73,125.11,28485900.0,124.375,136645
2013-07-26,127.67,130.14,126.78,128.8,36440700.0,128.449,175689
2013-08-02,128.45,128.92,126.13,126.36,34580300.0,127.286,161696
2013-08-09,126.51,127.27,123.55,126.86,27516300.0,125.554,131924
2013-08-16,129.57,133.27,127.38,132.58,50616100.0,130.269,234757
2013-08-23,132.33,135.24,131.51,134.9,38629900.0,132.969,178055
2013-08-30,134.9,137.55,134.15,134.62,42292300.0,136.172,219146
2013-09-06,135.45,136.79,131.8,134.15,31824400.0,134.081,152862
2013-09-13,134.14,134.32,126.21,127.82,37555200.0,129.591,174882
2013-09-20,127.48,132.78,125.15,127.9,67285500.0,129.074,301596
2013-09-27,127.53,129.58,126.34,128.97,34268000.0,128.143,173882
2013-10-04,127.95,129.14,123.81,126.53,47440900.0,126.433,250778
2013-10-11,127.26,128.45,121.85,122.6,42775200.0,125.219,201571
2013-10-18,123.9,127.86,122.22,126.85,35653000.0,124.958,175627
2013-10-25,127.13,130.92,126.79,130.46,28683100.0,129.453,138111
2013-11-01,130.41,131.44,126.05,126.95,32795300.0,128.957,143445
2013-11-08,127.18,127.52,123.62,124.28,23651200.0,125.879,101444
2013-11-15,123.92,124.91,121.73,124.32,24998100.0,123.586,106625
2013-11-22,123.7,123.96,119.31,119.92,34251600.0,121.15,147310
2013-11-29,119.18,121.05,119.13,120.7,20818900.0,120.01,86398
2013-12-06,119.2,120.76,117.23,118.55,36331500.0,118.578,150034
2013-12-13,118.98,122.32,118.03,119.38,36318600.0,120.162,178862
2013-12-20,119.23,120.77,114.5,115.94,56742600.0,117.482,276473
2013-12-27,115.6,117.38,115.43,117.12,17517000.0,116.347,87123
2014-01-03,116.38,119.62,114.46,119.29,32237400.0,117.132,160457
2014-01-10,119.75,120.43,117.11,120.26,30142500.0,118.986,155603
2014-01-17,120.27,121.06,119.11,120.93,25807200.0,120.231,129836
2014-01-24,119.23,122.5,119.17,122.29,26396000.0,121.015,132597
2014-01-31,121.65,122.51,119.46,120.09,32668400.0,120.901,168094
2014-02-07,120.47,122.24,120.32,122.17,27875200.0,121.337,140174
2014-02-14,122.8,127.38,122.72,127.15,37592300.0,124.988,175992
2014-02-21,127.42,128.07,126.16,127.58,27722300.0,127.232,124493
2014-02-28,128.51,129.53,127.15,127.62,32972000.0,128.4,148562
2014-03-07,129.98,130.59,128.21,129.09,30452200.0,129.466,140512
2014-03-14,128.88,133.69,128.78,133.1,35651800.0,131.515,162612
2014-03-21,132.73,133.22,127.58,128.47,40891400.0,129.901,172399
2014-03-28,126.87,127.14,123.88,124.56,35235700.0,125.599,143635
2014-04-04,124.52,125.96,123.11,125.57,28125300.0,124.309,128274
2014-04-11,125.07,127.37,124.84,126.93,19978300.0,126.262,94490
2014-04-17,127.8,128.25,124.57,124.75,21788400.0,125.897,98479
2014-04-25,124.07,125.71,122.84,125.43,27829300.0,124.231,118133
2014-05-02,125.3,125.67,123.06,125.06,29725800.0,124.508,131175
2014-05-09,126.45,126.63,123.82,124.1,20652700.0,125.009,83782
2014-05-16,125.4,125.96,124.29,124.5,16854000.0,125.013,74234
